code,description,mdc,adrg
A00.0,Cholera dt 01 biovar cholerae,06,G67
A00.1,Cholera dt biovar eltor,06,G67
A00.9,Cholera unspecified,06,G67
A01.0,Typhoid fever,18,T64
A01.1,Paratyphoid fever A,18,T64
A01.2,Paratyphoid fever B,18,T64
A01.3,Paratyphoid fever C,18,T64
A01.4,Paratyphoid fever unspecified,18,T64
A02.0,Salmonella enteritis,06,G67
A02.1,Sepsis due to Salmonella,18,T60
A02.2,Localised Salmonella infections,18,T64
A02.8,Other specified Salmonella infections,18,T64
A02.9,Salmonella infection unspecified,18,T64
A03.0,Shigellosis due to Shigella dysenteriae,06,G67
A03.1,Shigellosis due to Shigella flexneri,06,G67
A03.2,Shigellosis due to Shigella boydii,06,G67
A03.3,Shigellosis due to Shigella sonnei,06,G67
A03.7,Sepsis due to Shigella,18,T60
A03.8,Other shigellosis,06,G67
A03.9,Shigellosis unspecified,06,G67
A04.0,Enteropathogenic E coli infection,06,G67
A04.1,Enterotoxigenic E coli infection,06,G67
A04.2,Enteroinvasive E coli infection,06,G67
A04.3,Enterohaemorrhagic E coli infection,06,G67
A04.4,Other E coli infection,06,G67
A04.5,Campylobacter enteritis,06,G67
A04.6,Enteritis due to Yersinia enterocolitica,06,G67
A04.7,Enterocolitis due to C.difficile,06,G67
A04.8,Other spec bacterial intestinal infectn,06,G67
A04.9,Bacterial intestinal infection unsp,06,G67
A05.0,Food-borne staphylococcal intoxication,06,G67
A05.1,Botulism,18,T64
A05.2,Food-borne intox dt C. perfringens,06,G67
A05.3,Food-borne intox dt Vib parahaemolyticus,06,G67
A05.4,Food-borne Bacillus cereus intoxication,06,G67
A05.8,Other spec bacterial food-borne intox,06,G67
A05.9,Bacterial food-borne intoxication unsp,06,G67
A06.0,Acute amoebic dysentery,06,G67
A06.1,Chronic intestinal amoebiasis,06,G67
A06.2,Amoebic nondysenteric colitis,06,G67
A06.3,Amoeboma of intestine,18,T64
A06.4,Amoebic liver abscess,07,H63
A06.5,Amoebic lung abscess,04,E62
A06.6,Amoebic brain abscess,01,B72
A06.7,Cutaneous amoebiasis,09,J68
A06.8,Amoebic infection of other sites,18,T64
A06.9,Amoebiasis unspecified,18,T64
A07.0,Balantidiasis,06,G67
A07.1,Giardiasis [lambliasis],06,G67
A07.2,Cryptosporidiosis,06,G67
A07.3,Isosporiasis,06,G67
A07.8,Other spec protozoal intestinal diseases,06,G67
A07.9,Protozoal intestinal disease unsp,06,G67
A08.0,Rotaviral enteritis,06,G67
A08.1,Acute gastroenteropathy dt Norovirus,06,G67
A08.2,Adenoviral enteritis,06,G67
A08.3,Other viral enteritis,06,G67
A08.4,Viral intestinal infection unspecified,06,G67
A08.5,Other specified intestinal infections,06,G67
A09.0,Oth gastroenteritis & colitis infect,06,G67
A09.9,Gastroenteritis & colitis unsp origin,06,G67
A15.0,TB lung conf sputm mico w or wo cult,04,E76
A15.1,TB lung confirmed by culture only,04,E76
A15.2,TB lung confirmed histologically,04,E76
A15.3,TB lung confirmed by unspecified means,04,E76
A15.4,TB intrathoracic nodes conf bact & histo,04,E76
A15.5,TB larynx trach bronc conf bact & histo,04,E76
A15.6,Tuberculous pleurisy conf bact & histo,04,E76
A15.7,Primary respiratory TB conf bact & histo,04,E76
A15.8,Other respiratory TB conf bact & histo,04,E76
A15.9,Respiratory TB unsp conf bact & histo,04,E76
A16.0,TB lung negative bact & histo,04,E76
A16.1,TB lung no bact & histo exam done,04,E76
A16.2,TB lung wo bact & histo confirmation,04,E76
A16.3,TB intrathor nodes wo bact & histo conf,04,E76
A16.4,TB lrnx trach bronc wo bact & histo conf,04,E76
A16.5,Tubrcul pleurisy wo bact & histo conf,04,E76
A16.7,Primary resp TB wo bact & histo conf,04,E76
A16.8,Oth respiratory TB wo bact & histo conf,04,E76
A16.9,Respiratory TB unsp wo bact & histo conf,04,E76
A17.0,Tuberculous meningitis,01,B72
A17.1,Meningeal tuberculoma,01,B72
A17.8,Other tuberculosis of nervous system,01,B72
A17.9,TB of nervous system unsp,01,B72
A18.0,Tuberculosis of bones and joints,08,I12
A18.0,Tuberculosis of bones and joints,08,I64
A18.1,Tuberculosis of genitourinary system,11,L63
A18.2,Tuberculous peripheral lymphadenopathy,16,Q60
A18.3,TB intestine peritoneum mesenteric gland,06,G70
A18.4,TB skin and subcutaneous tissue,09,J68
A18.5,Tuberculosis of eye,02,C60
A18.6,Tuberculosis of ear,03,D66
A18.7,Tuberculosis of adrenal glands,10,K64
A18.8,Tuberculosis of other specified organs,18,T64
A19.0,Acute miliary TB single specified site,18,T64
A19.1,Acute miliary TB multiple sites,18,T64
A19.2,Acute miliary tuberculosis unspecified,18,T64
A19.8,Other miliary tuberculosis,18,T64
A19.9,Miliary tuberculosis unspecified,18,T64
A20.0,Bubonic plague,18,T64
A20.1,Cellulocutaneous plague,18,T64
A20.2,Pneumonic plague,04,E62
A20.3,Plague meningitis,18,T64
A20.7,Sepsis due to plague,18,T60
A20.8,Other forms of plague,18,T64
A20.9,Plague unspecified,18,T64
A21.0,Ulceroglandular tularaemia,18,T64
A21.1,Oculoglandular tularaemia,18,T64
A21.2,Pulmonary tularaemia,04,E62
A21.3,Gastrointestinal tularaemia,06,G70
A21.7,Sepsis due to tularaemia,18,T64
A21.8,Other forms of tularaemia,18,T64
A21.9,Tularaemia unspecified,18,T64
A22.0,Cutaneous anthrax,09,J68
A22.1,Pulmonary anthrax,04,E62
A22.2,Gastrointestinal anthrax,06,G70
A22.7,Sepsis due to anthrax,18,T60
A22.8,Other forms of anthrax,18,T64
A22.9,Anthrax unspecified,18,T64
A23.0,Brucellosis due to Brucella melitensis,18,T64
A23.1,Brucellosis due to Brucella abortus,18,T64
A23.2,Brucellosis due to Brucella suis,18,T64
A23.3,Brucellosis due to Brucella canis,18,T64
A23.7,Sepsis due to Brucella,18,T60
A23.8,Other brucellosis,18,T64
A23.9,Brucellosis unspecified,18,T64
A24.0,Glanders,18,T64
A24.1,Acute and fulminating melioidosis,18,T64
A24.2,Subacute and chronic melioidosis,18,T64
A24.3,Other melioidosis,18,T64
A24.4,Melioidosis unspecified,18,T64
A24.7,Sepsis due to glanders and melioidosis,18,T60
A25.0,Spirillosis,18,T64
A25.1,Streptobacillosis,18,T64
A25.9,Rat-bite fever unspecified,18,T64
A26.0,Cutaneous erysipeloid,18,T64
A26.7,Sepsis due to Erysipelothrix,18,T64
