code,description,age_l,age_h,sex
A33,Tetanus neonatorum,0,201,
A34,Obstetrical tetanus,210,260,FEML
A50.3,Late congenital syphilitic oculopathy,201,324,
A50.4,Late congenital (juvenile) neurosyphilis,201,324,
A50.5,Other late cong syphilis symptomatic,201,324,
A50.6,Late congenital syphilis latent,201,324,
A50.7,Late congenital syphilis unspecified,201,324,
A51.0,Primary genital syphilis,215,324,
A51.1,Primary anal syphilis,215,324,
A51.2,Primary syphilis of other sites,215,324,
A51.3,Sec syphilis of skin & mucous membranes,215,324,
A51.4,Other secondary syphilis,215,324,
A51.5,Early syphilis latent,215,324,
A51.9,Early syphilis unspecified,215,324,
A52.0,Cardiovascular syphilis,215,324,
A52.1,Symptomatic neurosyphilis,215,324,
A52.2,Asymptomatic neurosyphilis,215,324,
A52.3,Neurosyphilis unspecified,215,324,
A52.7,Other symptomatic late syphilis,215,324,
A52.8,Late syphilis latent,215,324,
A52.9,Late syphilis unspecified,215,324,
A53.0,Latent syphilis unsp as early or late,215,324,
A53.9,Syphilis unspecified,215,324,
A54.0,Low GU gon infectn wo abs acc periur gld,215,324,
A54.1,Low GU gon infectn w abs acc periur gld,215,324,
A54.2,Gon pelviperitonitis & oth gon GU infect,215,324,
A54.4,Gonococcal infectn musculoskeletal sys,215,324,
A54.5,Gonococcal pharyngitis,215,324,
A54.6,Gonococcal infection of anus and rectum,215,324,
A54.8,Other gonococcal infections,215,324,
A54.9,Gonococcal infection unspecified,215,324,
A55,Chlamydial lymphogranuloma (venereum),215,324,
A56.0,Chlamydial infection lower GU tract,215,324,
A56.1,Chlamydial infectn pelviperit oth GU org,215,324,
A56.2,Chlamydial infectn GU tract unspecified,215,324,
A56.3,Chlamydial infection of anus and rectum,215,324,
A56.4,Chlamydial infection of pharynx,215,324,
A56.8,Sex trans chlamydial infectn other sites,215,324,
A57,Chancroid,215,324,
A58,Granuloma inguinale,215,324,
A59.0,Urogenital trichomoniasis,215,324,
A59.8,Trichomoniasis of other sites,215,324,
A59.9,Trichomoniasis unspecified,215,324,
A60.0,Herpesviral infectn genitalia & GU tract,215,324,
A60.1,Herpesviral infectn perianal skin rectum,215,324,
A60.9,Anogenital herpesviral infection unsp,215,324,
A63.00,Anogen (venereal) warts unspecified site,215,324,
A63.01,Perianal (venereal) warts,215,324,
A63.02,Cervical (venereal) warts,215,324,FEML
A63.03,Urethral (venereal) warts,215,324,
A63.04,Vaginal (venereal) warts,215,324,FEML
A63.05,Vulval (venereal) warts,215,324,FEML
A63.06,Penile (venereal) warts,215,324,MALE
A63.07,Scrotal (venereal) warts,215,324,MALE
A63.09,Anogen (venereal) warts other site,215,324,
A63.8,Other spec predom sexually trans disease,215,324,
A64,Unspecified sexually transmitted disease,215,324,
B90.0,Sequelae of CNS tuberculosis,230,324,
B90.1,Sequelae of genitourinary tuberculosis,230,324,
