code,description,mdc,adrg
13106-00,Thrombectomy external AV shunt,05,F07
13106-00,Thrombectomy external AV shunt,05,F14
13106-00,Thrombectomy external AV shunt,06,G12
13106-00,Thrombectomy external AV shunt,10,K09
13106-00,Thrombectomy external AV shunt,11,L09
13106-00,Thrombectomy external AV shunt,21A,W04
13106-00,Thrombectomy external AV shunt,21B,X04
13106-00,Thrombectomy external AV shunt,21B,X05
13106-00,Thrombectomy external AV shunt,21B,X06
13106-00,Thrombectomy external AV shunt,22,Y01
13106-00,Thrombectomy external AV shunt,22,Y03
13109-00,Ins & fix indwel peritonl cath long term,05,F21
13109-00,Ins & fix indwel peritonl cath long term,06,G12
13109-00,Ins & fix indwel peritonl cath long term,07,H06
13109-00,Ins & fix indwel peritonl cath long term,11,L02
13109-00,Ins & fix indwel peritonl cath long term,17,R01
13109-00,Ins & fix indwel peritonl cath long term,17,R02
13109-00,Ins & fix indwel peritonl cath long term,21A,W03
13109-00,Ins & fix indwel peritonl cath long term,21B,X06
13109-01,Replace indwel peritonl cath f dialysis,05,F21
13109-01,Replace indwel peritonl cath f dialysis,06,G12
13109-01,Replace indwel peritonl cath f dialysis,07,H06
13109-01,Replace indwel peritonl cath f dialysis,11,L02
13109-01,Replace indwel peritonl cath f dialysis,17,R01
13109-01,Replace indwel peritonl cath f dialysis,17,R02
13109-01,Replace indwel peritonl cath f dialysis,21A,W03
13109-01,Replace indwel peritonl cath f dialysis,21B,X06
13110-00,R/O indwel peritoneal cath for dialysis,05,F21
13110-00,R/O indwel peritoneal cath for dialysis,06,G12
13110-00,R/O indwel peritoneal cath for dialysis,07,H06
13110-00,R/O indwel peritoneal cath for dialysis,11,L09
13110-00,R/O indwel peritoneal cath for dialysis,13,N11
13110-00,R/O indwel peritoneal cath for dialysis,17,R01
13110-00,R/O indwel peritoneal cath for dialysis,17,R02
13110-00,R/O indwel peritoneal cath for dialysis,21A,W03
13110-00,R/O indwel peritoneal cath for dialysis,21B,X06
13110-00,R/O indwel peritoneal cath for dialysis,22,Y01
13110-00,R/O indwel peritoneal cath for dialysis,22,Y03
13112-00,"Est dialysis by abdo punct, ins catheter",06,G12
13112-00,"Est dialysis by abdo punct, ins catheter",07,H06
13112-00,"Est dialysis by abdo punct, ins catheter",10,K09
13112-00,"Est dialysis by abdo punct, ins catheter",11,L09
13112-00,"Est dialysis by abdo punct, ins catheter",17,R01
13112-00,"Est dialysis by abdo punct, ins catheter",17,R02
13200-00,Asst reprod technology ind supovulatn,13,N11
13203-00,Ovulation monitor for artf insemin,13,N11
13206-00,Asst reprod induce oocyte growth & devt,13,N11
13209-00,Plan & mgmt asst reproductive technology,13,N11
13212-00,Transvaginal oocyte retrieval,13,N07
13212-00,Transvaginal oocyte retrieval,13,N12
13212-01,Transabdominal oocyte retrieval,13,N07
13212-01,Transabdominal oocyte retrieval,13,N12
13215-00,Gamete intrafallopian transfer [GIFT],13,N07
13215-00,Gamete intrafallopian transfer [GIFT],13,N12
13215-01,Embryo transfer to uterus,13,N11
13215-02,Embryo transfer to fallopian tube,13,N07
13215-02,Embryo transfer to fallopian tube,13,N12
13215-03,Other reproductive medicine procedure,13,N11
13706-20,HSCT autologous donor bone marrow,17,R06
13706-21,HSCT autologous donor cord blood,17,R06
13706-22,HSCT autologous donor peripheral blood,17,R06
13706-29,HSCT autologous donor stem cells NEC,17,R06
13706-30,HSCT allogeneic MRD bone marrow,17,R05
13706-31,HSCT allogeneic MRD cord blood,17,R05
13706-32,HSCT allogeneic MRD peripheral blood,17,R05
13706-39,HSCT allogeneic MRD stem cells NEC,17,R05
13706-40,HSCT allogeneic MUD bone marrow,17,R05
13706-41,HSCT allogeneic MUD cord blood,17,R05
13706-42,HSCT allogeneic MUD peripheral blood,17,R05
13706-49,HSCT allogeneic MUD stem cells NEC,17,R05
13706-50,HSCT allogeneic MMRD bone marrow,17,R05
13706-51,HSCT allogeneic MMRD cord blood,17,R05
13706-52,HSCT allogeneic MMRD peripheral blood,17,R05
13706-59,HSCT allogeneic MMRD stem cells NEC,17,R05
13706-60,HSCT allogeneic MMUD bone marrow,17,R05
13706-61,HSCT allogeneic MMUD cord blood,17,R05
13706-62,HSCT allogeneic MMUD peripheral blood,17,R05
13706-69,HSCT allogeneic MMUD stem cells NEC,17,R05
13706-90,HSCT no donor type bone marrow,17,R05
13706-91,HSCT no donor type cord blood,17,R05
